H,N,C,O,P,S,Si,Ti,H+N,C+O,S+P,Si+Ti,H/N,C/O,S/P,Si/Ti,comp_number
0.349995,0.349995,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,0.001,100,102
0.349995,0.349995,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,1,10,103
0.349995,0.349995,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,1,100,104
0.349995,0.349995,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,10,10,105
0.349995,0.349995,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,10,100,106
0.349995,0.349995,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,100,10,107
0.349995,0.349995,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1,0.001,100,100,108
0.006931,0.693059,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,0.001,10,109
0.006931,0.693059,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,0.001,100,110
0.006931,0.693059,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,1,10,111
0.006931,0.693059,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,1,100,112
0.006931,0.693059,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,10,10,113
0.006931,0.693059,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,10,100,114
0.006931,0.693059,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,100,10,115
0.006931,0.693059,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,100,0.001,100,100,116
7.00E-09,0.69999,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,0.001,10,117
7.00E-09,0.69999,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,0.001,100,118
7.00E-09,0.69999,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,1,10,119
7.00E-09,0.69999,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,1,100,120
7.00E-09,0.69999,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,10,10,121
7.00E-09,0.69999,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,10,100,122
7.00E-09,0.69999,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.272727,0.027273,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,100,10,123
7.00E-09,0.69999,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.29703,0.00297,0.69999,1.00E-20,1.00E-05,0.3,1.00E+08,0.001,100,100,124
0.79992,8.00E-05,9.99E-24,9.99E-21,0.1998,0.0002,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E-04,0.001,0.001,10,125
0.79992,8.00E-05,9.99E-24,9.99E-21,0.1,0.1,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E-04,0.001,1,10,126
0.79992,8.00E-05,9.99E-24,9.99E-21,0.018182,0.181818,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E-04,0.001,10,10,127
0.79992,8.00E-05,9.99E-24,9.99E-21,0.00198,0.19802,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E-04,0.001,100,10,128
0.792079,0.007921,9.99E-24,9.99E-21,0.1998,0.0002,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,0.01,0.001,0.001,10,129
0.792079,0.007921,9.99E-24,9.99E-21,0.1,0.1,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,0.01,0.001,1,10,130
0.792079,0.007921,9.99E-24,9.99E-21,0.018182,0.181818,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,0.01,0.001,10,10,131
0.792079,0.007921,9.99E-24,9.99E-21,0.00198,0.19802,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,0.01,0.001,100,10,132
0.4,0.4,9.99E-24,9.99E-21,0.1998,0.0002,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1,0.001,0.001,10,133
